date;age;covid;covid7
2020-11-22;Older than 64;78;2195
2020-11-23;Older than 64;277;1992
2020-11-24;Older than 64;371;1913
2020-11-25;Older than 64;315;1826
2020-11-26;Older than 64;329;1845
2020-11-27;Older than 64;304;1804
2020-11-28;Older than 64;130;1804
2020-11-29;Older than 64;121;1847
2020-11-30;Older than 64;284;1854
2020-12-01;Older than 64;307;1790
2020-12-02;Older than 64;288;1763
2020-12-03;Older than 64;250;1684
2020-12-04;Older than 64;236;1616
2020-04-13;Older than 64;380;3740
2020-04-14;Older than 64;669;3804
2020-04-15;Older than 64;788;3938
2020-04-16;Older than 64;733;3950
2020-04-17;Older than 64;1033;4361
2020-04-18;Older than 64;448;4347
2020-04-19;Older than 64;253;4304
2020-04-20;Older than 64;442;4366
2020-04-21;Older than 64;507;4204
2020-04-22;Older than 64;453;3869
2020-04-23;Older than 64;378;3514
2020-04-24;Older than 64;304;2785
2020-04-25;Older than 64;152;2489
2020-04-26;Older than 64;132;2368
2020-04-27;Older than 64;112;2038
2020-04-28;Older than 64;212;1743
2020-04-29;Older than 64;211;1501
2020-04-30;Older than 64;132;1255
2020-05-01;Older than 64;98;1049
2020-05-02;Older than 64;68;965
2020-05-03;Older than 64;33;866
2020-05-04;Older than 64;104;858
2020-05-05;Older than 64;98;744
2020-05-06;Older than 64;108;641
2020-05-07;Older than 64;77;586
2020-05-08;Older than 64;72;560
2020-05-09;Older than 64;69;561
2020-05-10;Older than 64;35;563
2020-05-11;Older than 64;55;514
2020-05-12;Older than 64;86;502
2020-05-13;Older than 64;66;460
2020-05-14;Older than 64;82;465
2020-05-15;Older than 64;73;466
2020-05-16;Older than 64;42;439
2020-05-17;Older than 64;20;424
2020-05-18;Older than 64;56;425
2020-05-19;Older than 64;69;408
2020-05-20;Older than 64;71;413
2020-05-21;Older than 64;77;408
2020-05-22;Older than 64;86;421
2020-05-23;Older than 64;36;415
2020-05-24;Older than 64;35;430
2020-05-25;Older than 64;75;449
2020-05-26;Older than 64;41;421
2020-05-27;Older than 64;44;394
2020-05-28;Older than 64;49;366
2020-05-29;Older than 64;62;342
2020-05-30;Older than 64;36;342
2020-05-31;Older than 64;8;315
2020-06-01;Older than 64;15;255
2020-06-02;Older than 64;36;250
2020-06-03;Older than 64;26;232
2020-06-04;Older than 64;40;223
2020-06-05;Older than 64;33;194
2020-06-06;Older than 64;15;173
2020-06-07;Older than 64;21;186
2020-06-08;Older than 64;31;202
2020-06-09;Older than 64;17;183
2020-06-10;Older than 64;22;179
2020-06-11;Older than 64;11;150
2020-06-12;Older than 64;29;146
2020-06-13;Older than 64;8;139
2020-06-14;Older than 64;6;124
2020-06-15;Older than 64;15;108
2020-06-16;Older than 64;24;115
2020-06-17;Older than 64;14;107
2020-06-18;Older than 64;19;115
2020-06-19;Older than 64;16;102
2020-06-20;Older than 64;4;98
2020-06-21;Older than 64;4;96
2020-06-22;Older than 64;12;93
2020-06-23;Older than 64;21;90
2020-06-24;Older than 64;4;80
2020-06-25;Older than 64;20;81
2020-06-26;Older than 64;26;91
2020-06-27;Older than 64;9;96
2020-06-28;Older than 64;7;99
2020-06-29;Older than 64;23;110
2020-06-30;Older than 64;23;112
2020-07-01;Older than 64;23;131
2020-07-02;Older than 64;32;143
2020-07-03;Older than 64;39;156
2020-07-04;Older than 64;22;169
2020-07-05;Older than 64;8;170
2020-07-06;Older than 64;40;187
2020-07-07;Older than 64;73;237
2020-07-08;Older than 64;55;269
2020-07-09;Older than 64;70;307
2020-07-10;Older than 64;82;350
2020-07-11;Older than 64;27;355
2020-07-12;Older than 64;24;371
2020-07-13;Older than 64;92;423
2020-07-14;Older than 64;70;420
2020-07-15;Older than 64;135;500
2020-07-16;Older than 64;105;535
2020-07-17;Older than 64;103;556
2020-07-18;Older than 64;75;604
2020-07-19;Older than 64;52;632
2020-07-20;Older than 64;90;630
2020-07-21;Older than 64;99;659
2020-07-22;Older than 64;101;625
2020-07-23;Older than 64;107;627
2020-07-24;Older than 64;115;639
2020-07-25;Older than 64;59;623
2020-07-26;Older than 64;42;613
2020-07-27;Older than 64;106;629
2020-07-28;Older than 64;147;677
2020-07-29;Older than 64;149;725
