Season;date;N;N7;age;flu_pick
2015-2016;2016-02-17;82;412;Younger than 15;
2015-2016;2016-02-17;82;448;Between 15 and 64;
2015-2016;2016-02-17;67;330;Older than 64;
2015-2016;2016-02-18;215;1208;Total;
2015-2016;2016-02-18;77;406;Younger than 15;
2015-2016;2016-02-18;70;455;Between 15 and 64;
2015-2016;2016-02-18;68;347;Older than 64;
2015-2016;2016-02-19;229;1267;Total;
2015-2016;2016-02-19;78;418;Younger than 15;
2015-2016;2016-02-19;81;487;Between 15 and 64;
2015-2016;2016-02-19;70;362;Older than 64;
2015-2016;2016-02-20;33;1260;Total;
2015-2016;2016-02-20;4;412;Younger than 15;
2015-2016;2016-02-20;18;482;Between 15 and 64;
2015-2016;2016-02-20;11;366;Older than 64;
2015-2016;2016-02-21;27;1259;Total;
2015-2016;2016-02-21;3;407;Younger than 15;
2015-2016;2016-02-21;13;481;Between 15 and 64;
2015-2016;2016-02-21;11;371;Older than 64;
2015-2016;2016-02-22;269;1215;Total;
2015-2016;2016-02-22;90;411;Younger than 15;
2015-2016;2016-02-22;114;449;Between 15 and 64;
2015-2016;2016-02-22;65;355;Older than 64;
2015-2016;2016-02-23;225;1229;Total;
2015-2016;2016-02-23;75;409;Younger than 15;
2015-2016;2016-02-23;81;459;Between 15 and 64;
2015-2016;2016-02-23;69;361;Older than 64;
2015-2016;2016-02-24;217;1215;Total;
2015-2016;2016-02-24;77;404;Younger than 15;
2015-2016;2016-02-24;80;457;Between 15 and 64;
2015-2016;2016-02-24;60;354;Older than 64;
2015-2016;2016-02-25;218;1218;Total;
2015-2016;2016-02-25;85;412;Younger than 15;
2015-2016;2016-02-25;68;455;Between 15 and 64;
2015-2016;2016-02-25;65;351;Older than 64;
2015-2016;2016-02-26;235;1224;Total;
2015-2016;2016-02-26;88;422;Younger than 15;
2015-2016;2016-02-26;79;453;Between 15 and 64;
2015-2016;2016-02-26;68;349;Older than 64;
2015-2016;2016-02-27;37;1228;Total;
2015-2016;2016-02-27;6;424;Younger than 15;
2015-2016;2016-02-27;22;457;Between 15 and 64;
2015-2016;2016-02-27;9;347;Older than 64;
2015-2016;2016-02-28;33;1234;Total;
2015-2016;2016-02-28;7;428;Younger than 15;
2015-2016;2016-02-28;16;460;Between 15 and 64;
2015-2016;2016-02-28;10;346;Older than 64;
2015-2016;2016-02-29;297;1262;Total;
2015-2016;2016-02-29;106;444;Younger than 15;
2015-2016;2016-02-29;115;461;Between 15 and 64;
2015-2016;2016-02-29;76;357;Older than 64;
2015-2016;2016-03-01;242;1279;Total;
2015-2016;2016-03-01;65;434;Younger than 15;
2015-2016;2016-03-01;96;476;Between 15 and 64;
2015-2016;2016-03-01;81;369;Older than 64;
2015-2016;2016-03-02;239;1301;Total;
2015-2016;2016-03-02;87;444;Younger than 15;
2015-2016;2016-03-02;78;474;Between 15 and 64;
2015-2016;2016-03-02;74;383;Older than 64;
2015-2016;2016-03-03;243;1326;Total;
2015-2016;2016-03-03;79;438;Younger than 15;
2015-2016;2016-03-03;88;494;Between 15 and 64;
2015-2016;2016-03-03;76;394;Older than 64;
2015-2016;2016-03-04;234;1325;Total;
2015-2016;2016-03-04;85;435;Younger than 15;
2015-2016;2016-03-04;86;501;Between 15 and 64;
2015-2016;2016-03-04;63;389;Older than 64;
2015-2016;2016-03-05;41;1329;Total;
2015-2016;2016-03-05;10;439;Younger than 15;
2015-2016;2016-03-05;15;494;Between 15 and 64;
2015-2016;2016-03-05;16;396;Older than 64;
2015-2016;2016-03-06;31;1327;Total;
2015-2016;2016-03-06;7;439;Younger than 15;
2015-2016;2016-03-06;16;494;Between 15 and 64;
2015-2016;2016-03-06;8;394;Older than 64;
2015-2016;2016-03-07;300;1330;Total;
2015-2016;2016-03-07;101;434;Younger than 15;
2015-2016;2016-03-07;134;513;Between 15 and 64;
2015-2016;2016-03-07;65;383;Older than 64;
2015-2016;2016-03-08;258;1346;Total;1
2015-2016;2016-03-08;87;456;Younger than 15;1
2015-2016;2016-03-08;88;505;Between 15 and 64;1
2015-2016;2016-03-08;83;385;Older than 64;1
2015-2016;2016-03-09;219;1326;Total;
2015-2016;2016-03-09;75;444;Younger than 15;
2015-2016;2016-03-09;77;504;Between 15 and 64;
2015-2016;2016-03-09;67;378;Older than 64;
2015-2016;2016-03-10;210;1293;Total;
2015-2016;2016-03-10;76;441;Younger than 15;
2015-2016;2016-03-10;79;495;Between 15 and 64;
2015-2016;2016-03-10;55;357;Older than 64;
2015-2016;2016-03-11;215;1274;Total;
2015-2016;2016-03-11;78;434;Younger than 15;
2015-2016;2016-03-11;75;484;Between 15 and 64;
2015-2016;2016-03-11;62;356;Older than 64;
2015-2016;2016-03-12;41;1274;Total;
2015-2016;2016-03-12;10;434;Younger than 15;
2015-2016;2016-03-12;18;487;Between 15 and 64;
2015-2016;2016-03-12;13;353;Older than 64;
2015-2016;2016-03-13;28;1271;Total;
2015-2016;2016-03-13;9;436;Younger than 15;
2015-2016;2016-03-13;12;483;Between 15 and 64;
2015-2016;2016-03-13;7;352;Older than 64;
2015-2016;2016-03-14;276;1247;Total;
2015-2016;2016-03-14;87;422;Younger than 15;
2015-2016;2016-03-14;120;469;Between 15 and 64;
2015-2016;2016-03-14;69;356;Older than 64;
2015-2016;2016-03-15;239;1228;Total;
2015-2016;2016-03-15;78;413;Younger than 15;
2015-2016;2016-03-15;75;456;Between 15 and 64;
2015-2016;2016-03-15;86;359;Older than 64;
2015-2016;2016-03-16;211;1220;Total;
2015-2016;2016-03-16;63;401;Younger than 15;
2015-2016;2016-03-16;76;455;Between 15 and 64;
2015-2016;2016-03-16;72;364;Older than 64;
2015-2016;2016-03-17;197;1207;Total;
2015-2016;2016-03-17;63;388;Younger than 15;
2015-2016;2016-03-17;70;446;Between 15 and 64;
2015-2016;2016-03-17;64;373;Older than 64;
2015-2016;2016-03-18;228;1220;Total;
2015-2016;2016-03-18;62;372;Younger than 15;
2015-2016;2016-03-18;77;448;Between 15 and 64;
2015-2016;2016-03-18;89;400;Older than 64;
2015-2016;2016-03-19;43;1222;Total;
2015-2016;2016-03-19;8;370;Younger than 15;
2015-2016;2016-03-19;20;450;Between 15 and 64;
2015-2016;2016-03-19;15;402;Older than 64;
2015-2016;2016-03-20;37;1231;Total;
2015-2016;2016-03-20;10;371;Younger than 15;
2015-2016;2016-03-20;13;451;Between 15 and 64;
2015-2016;2016-03-20;14;409;Older than 64;
2015-2016;2016-03-21;280;1235;Total;
2015-2016;2016-03-21;88;372;Younger than 15;
2015-2016;2016-03-21;109;440;Between 15 and 64;
2015-2016;2016-03-21;83;423;Older than 64;
2015-2016;2016-03-22;199;1195;Total;
2015-2016;2016-03-22;58;352;Younger than 15;
2015-2016;2016-03-22;68;433;Between 15 and 64;
2015-2016;2016-03-22;73;410;Older than 64;
2015-2016;2016-03-23;209;1193;Total;
2015-2016;2016-03-23;78;367;Younger than 15;
2015-2016;2016-03-23;61;418;Between 15 and 64;
2015-2016;2016-03-23;70;408;Older than 64;
2015-2016;2016-03-24;147;1143;Total;
2015-2016;2016-03-24;50;354;Younger than 15;
2015-2016;2016-03-24;37;385;Between 15 and 64;
2015-2016;2016-03-24;60;404;Older than 64;
2015-2016;2016-03-25;29;944;Total;
2015-2016;2016-03-25;4;296;Younger than 15;
2015-2016;2016-03-25;14;322;Between 15 and 64;
2015-2016;2016-03-25;11;326;Older than 64;
2015-2016;2016-03-26;39;940;Total;
2015-2016;2016-03-26;3;291;Younger than 15;
2015-2016;2016-03-26;16;318;Between 15 and 64;
2015-2016;2016-03-26;20;331;Older than 64;
2015-2016;2016-03-27;31;934;Total;
2015-2016;2016-03-27;5;286;Younger than 15;
2015-2016;2016-03-27;13;318;Between 15 and 64;
2015-2016;2016-03-27;13;330;Older than 64;
2015-2016;2016-03-28;33;687;Total;
2015-2016;2016-03-28;5;203;Younger than 15;
2015-2016;2016-03-28;20;229;Between 15 and 64;
2015-2016;2016-03-28;8;255;Older than 64;
2015-2016;2016-03-29;263;751;Total;
2015-2016;2016-03-29;57;202;Younger than 15;
2015-2016;2016-03-29;122;283;Between 15 and 64;
2015-2016;2016-03-29;84;266;Older than 64;
2015-2016;2016-03-30;199;741;Total;
2015-2016;2016-03-30;62;186;Younger than 15;
2015-2016;2016-03-30;81;303;Between 15 and 64;
2015-2016;2016-03-30;56;252;Older than 64;
2015-2016;2016-03-31;164;758;Total;
2015-2016;2016-03-31;32;168;Younger than 15;
2015-2016;2016-03-31;73;339;Between 15 and 64;
2015-2016;2016-03-31;59;251;Older than 64;
2015-2016;2016-04-01;158;887;Total;
2015-2016;2016-04-01;37;201;Younger than 15;
2015-2016;2016-04-01;59;384;Between 15 and 64;
2015-2016;2016-04-01;62;302;Older than 64;
2015-2016;2016-04-02;36;884;Total;
2015-2016;2016-04-02;1;199;Younger than 15;
2015-2016;2016-04-02;18;386;Between 15 and 64;
2015-2016;2016-04-02;17;299;Older than 64;
2015-2016;2016-04-03;13;866;Total;
2015-2016;2016-04-03;0;194;Younger than 15;
2015-2016;2016-04-03;2;375;Between 15 and 64;
2015-2016;2016-04-03;11;297;Older than 64;
2015-2016;2016-04-04;219;1052;Total;
2015-2016;2016-04-04;44;233;Younger than 15;
2015-2016;2016-04-04;88;443;Between 15 and 64;
2015-2016;2016-04-04;87;376;Older than 64;
2015-2016;2016-04-05;170;959;Total;
2015-2016;2016-04-05;36;212;Younger than 15;
2015-2016;2016-04-05;61;382;Between 15 and 64;
2015-2016;2016-04-05;73;365;Older than 64;
2015-2016;2016-04-06;127;887;Total;
2015-2016;2016-04-06;23;173;Younger than 15;
2015-2016;2016-04-06;46;347;Between 15 and 64;
2015-2016;2016-04-06;58;367;Older than 64;
2015-2016;2016-04-07;124;847;Total;
2015-2016;2016-04-07;21;162;Younger than 15;
2015-2016;2016-04-07;47;321;Between 15 and 64;
2015-2016;2016-04-07;56;364;Older than 64;
2015-2016;2016-04-08;124;813;Total;
2015-2016;2016-04-08;35;160;Younger than 15;
2015-2016;2016-04-08;43;305;Between 15 and 64;
2015-2016;2016-04-08;46;348;Older than 64;
2015-2016;2016-04-09;14;791;Total;
2015-2016;2016-04-09;0;159;Younger than 15;
2015-2016;2016-04-09;4;291;Between 15 and 64;
2015-2016;2016-04-09;10;341;Older than 64;
2015-2016;2016-04-10;19;797;Total;
2015-2016;2016-04-10;7;166;Younger than 15;
2015-2016;2016-04-10;6;295;Between 15 and 64;
2015-2016;2016-04-10;6;336;Older than 64;
2015-2016;2016-04-11;174;752;Total;
2015-2016;2016-04-11;53;175;Younger than 15;
2015-2016;2016-04-11;57;264;Between 15 and 64;
2015-2016;2016-04-11;64;313;Older than 64;
2015-2016;2016-04-12;127;709;Total;
2015-2016;2016-04-12;41;180;Younger than 15;
2015-2016;2016-04-12;41;244;Between 15 and 64;
2015-2016;2016-04-12;45;285;Older than 64;
2015-2016;2016-04-13;136;718;Total;
2015-2016;2016-04-13;38;195;Younger than 15;
2015-2016;2016-04-13;45;243;Between 15 and 64;
2015-2016;2016-04-13;53;280;Older than 64;
2015-2016;2016-04-14;132;726;Total;
2015-2016;2016-04-14;42;216;Younger than 15;
2015-2016;2016-04-14;44;240;Between 15 and 64;
2015-2016;2016-04-14;46;270;Older than 64;
2015-2016;2016-04-15;121;723;Total;
2015-2016;2016-04-15;46;227;Younger than 15;
2015-2016;2016-04-15;35;232;Between 15 and 64;
2015-2016;2016-04-15;40;264;Older than 64;
2015-2016;2016-04-16;21;730;Total;
2015-2016;2016-04-16;3;230;Younger than 15;
2015-2016;2016-04-16;12;240;Between 15 and 64;
2015-2016;2016-04-16;6;260;Older than 64;
2015-2016;2016-04-17;18;729;Total;
2015-2016;2016-04-17;4;227;Younger than 15;
2015-2016;2016-04-17;6;240;Between 15 and 64;
2015-2016;2016-04-17;8;262;Older than 64;
2015-2016;2016-04-18;169;724;Total;
2015-2016;2016-04-18;53;227;Younger than 15;
2015-2016;2016-04-18;55;238;Between 15 and 64;
2015-2016;2016-04-18;61;259;Older than 64;
2015-2016;2016-04-19;130;727;Total;
2015-2016;2016-04-19;40;226;Younger than 15;
2015-2016;2016-04-19;50;247;Between 15 and 64;
2015-2016;2016-04-19;40;254;Older than 64;
2015-2016;2016-04-20;108;699;Total;
2015-2016;2016-04-20;33;221;Younger than 15;
2015-2016;2016-04-20;40;242;Between 15 and 64;
2015-2016;2016-04-20;35;236;Older than 64;
2015-2016;2016-04-21;110;677;Total;
2015-2016;2016-04-21;46;225;Younger than 15;
2015-2016;2016-04-21;38;236;Between 15 and 64;
2015-2016;2016-04-21;26;216;Older than 64;
2015-2016;2016-04-22;122;678;Total;
2015-2016;2016-04-22;42;221;Younger than 15;
2015-2016;2016-04-22;45;246;Between 15 and 64;
2015-2016;2016-04-22;35;211;Older than 64;
2015-2016;2016-04-23;22;679;Total;
2015-2016;2016-04-23;5;223;Younger than 15;
2015-2016;2016-04-23;9;243;Between 15 and 64;
2015-2016;2016-04-23;8;213;Older than 64;
2015-2016;2016-04-24;19;680;Total;
2015-2016;2016-04-24;2;221;Younger than 15;
2015-2016;2016-04-24;11;248;Between 15 and 64;
2015-2016;2016-04-24;6;211;Older than 64;
2015-2016;2016-04-25;126;637;Total;
2015-2016;2016-04-25;41;209;Younger than 15;
2015-2016;2016-04-25;46;239;Between 15 and 64;
2015-2016;2016-04-25;39;189;Older than 64;
2015-2016;2016-04-26;119;626;Total;
2015-2016;2016-04-26;38;207;Younger than 15;
2015-2016;2016-04-26;51;240;Between 15 and 64;
2015-2016;2016-04-26;30;179;Older than 64;
2015-2016;2016-04-27;119;637;Total;
2015-2016;2016-04-27;43;217;Younger than 15;
2015-2016;2016-04-27;39;239;Between 15 and 64;
2015-2016;2016-04-27;37;181;Older than 64;
2015-2016;2016-04-28;105;632;Total;
2015-2016;2016-04-28;42;213;Younger than 15;
2015-2016;2016-04-28;34;235;Between 15 and 64;
2015-2016;2016-04-28;29;184;Older than 64;
2015-2016;2016-04-29;113;623;Total;
2015-2016;2016-04-29;44;215;Younger than 15;
2015-2016;2016-04-29;35;225;Between 15 and 64;
2015-2016;2016-04-29;34;183;Older than 64;
2015-2016;2016-04-30;15;616;Total;
2015-2016;2016-04-30;1;211;Younger than 15;
2015-2016;2016-04-30;5;221;Between 15 and 64;
2015-2016;2016-04-30;9;184;Older than 64;
2015-2016;2016-05-01;17;614;Total;
2015-2016;2016-05-01;4;213;Younger than 15;
2015-2016;2016-05-01;5;215;Between 15 and 64;
2015-2016;2016-05-01;8;186;Older than 64;
2015-2016;2016-05-02;141;629;Total;
2015-2016;2016-05-02;42;214;Younger than 15;
2015-2016;2016-05-02;45;214;Between 15 and 64;
2015-2016;2016-05-02;54;201;Older than 64;
2015-2016;2016-05-03;144;654;Total;
2015-2016;2016-05-03;54;230;Younger than 15;
2015-2016;2016-05-03;40;203;Between 15 and 64;
2015-2016;2016-05-03;50;221;Older than 64;
2015-2016;2016-05-04;129;664;Total;
2015-2016;2016-05-04;43;230;Younger than 15;
2015-2016;2016-05-04;39;203;Between 15 and 64;
2015-2016;2016-05-04;47;231;Older than 64;
2015-2016;2016-05-05;129;688;Total;
2015-2016;2016-05-05;39;227;Younger than 15;
2015-2016;2016-05-05;39;208;Between 15 and 64;
2015-2016;2016-05-05;51;253;Older than 64;
2015-2016;2016-05-06;92;667;Total;
2015-2016;2016-05-06;28;211;Younger than 15;
2015-2016;2016-05-06;30;203;Between 15 and 64;
2015-2016;2016-05-06;34;253;Older than 64;
2015-2016;2016-05-07;24;676;Total;
2015-2016;2016-05-07;6;216;Younger than 15;
2015-2016;2016-05-07;11;209;Between 15 and 64;
2015-2016;2016-05-07;7;251;Older than 64;
2015-2016;2016-05-08;11;670;Total;
2015-2016;2016-05-08;1;213;Younger than 15;
2015-2016;2016-05-08;6;210;Between 15 and 64;
2015-2016;2016-05-08;4;247;Older than 64;
2015-2016;2016-05-09;140;669;Total;
2015-2016;2016-05-09;40;211;Younger than 15;
2015-2016;2016-05-09;53;218;Between 15 and 64;
2015-2016;2016-05-09;47;240;Older than 64;
2015-2016;2016-05-10;114;639;Total;
2015-2016;2016-05-10;38;195;Younger than 15;
2015-2016;2016-05-10;31;209;Between 15 and 64;
2015-2016;2016-05-10;45;235;Older than 64;
2015-2016;2016-05-11;108;618;Total;
2015-2016;2016-05-11;25;177;Younger than 15;
2015-2016;2016-05-11;39;209;Between 15 and 64;
2015-2016;2016-05-11;44;232;Older than 64;
2015-2016;2016-05-12;115;604;Total;
2015-2016;2016-05-12;40;178;Younger than 15;
2015-2016;2016-05-12;44;214;Between 15 and 64;
2015-2016;2016-05-12;31;212;Older than 64;
2015-2016;2016-05-13;112;624;Total;
2015-2016;2016-05-13;44;194;Younger than 15;
2015-2016;2016-05-13;34;218;Between 15 and 64;
2015-2016;2016-05-13;34;212;Older than 64;
2015-2016;2016-05-14;24;624;Total;
2015-2016;2016-05-14;7;195;Younger than 15;
2015-2016;2016-05-14;11;218;Between 15 and 64;
2015-2016;2016-05-14;6;211;Older than 64;
2015-2016;2016-05-15;22;635;Total;
2015-2016;2016-05-15;7;201;Younger than 15;
2015-2016;2016-05-15;12;224;Between 15 and 64;
2015-2016;2016-05-15;3;210;Older than 64;
2015-2016;2016-05-16;18;513;Total;
2015-2016;2016-05-16;4;165;Younger than 15;
2015-2016;2016-05-16;10;181;Between 15 and 64;
2015-2016;2016-05-16;4;167;Older than 64;
2015-2016;2016-05-17;146;545;Total;
2015-2016;2016-05-17;50;177;Younger than 15;
2015-2016;2016-05-17;47;197;Between 15 and 64;
2015-2016;2016-05-17;49;171;Older than 64;
2015-2016;2016-05-18;135;572;Total;
2015-2016;2016-05-18;47;199;Younger than 15;
2015-2016;2016-05-18;37;195;Between 15 and 64;
2015-2016;2016-05-18;51;178;Older than 64;
2015-2016;2016-05-19;127;584;Total;
2015-2016;2016-05-19;48;207;Younger than 15;
2015-2016;2016-05-19;42;193;Between 15 and 64;
2015-2016;2016-05-19;37;184;Older than 64;
2015-2016;2016-05-20;126;598;Total;
2015-2016;2016-05-20;49;212;Younger than 15;
2015-2016;2016-05-20;34;193;Between 15 and 64;
2015-2016;2016-05-20;43;193;Older than 64;
2015-2016;2016-05-21;17;591;Total;
2015-2016;2016-05-21;6;211;Younger than 15;
2015-2016;2016-05-21;5;187;Between 15 and 64;
2015-2016;2016-05-21;6;193;Older than 64;
2015-2016;2016-05-22;25;594;Total;
2015-2016;2016-05-22;3;207;Younger than 15;
2015-2016;2016-05-22;13;188;Between 15 and 64;
2015-2016;2016-05-22;9;199;Older than 64;
2015-2016;2016-05-23;155;731;Total;
2015-2016;2016-05-23;61;264;Younger than 15;
2015-2016;2016-05-23;51;229;Between 15 and 64;
2015-2016;2016-05-23;43;238;Older than 64;
2015-2016;2016-05-24;139;724;Total;
2015-2016;2016-05-24;49;263;Younger than 15;
2015-2016;2016-05-24;44;226;Between 15 and 64;
2015-2016;2016-05-24;46;235;Older than 64;
2015-2016;2016-05-25;128;717;Total;
2015-2016;2016-05-25;52;268;Younger than 15;
2015-2016;2016-05-25;34;223;Between 15 and 64;
2015-2016;2016-05-25;42;226;Older than 64;
2015-2016;2016-05-26;106;696;Total;
2015-2016;2016-05-26;42;262;Younger than 15;
2015-2016;2016-05-26;25;206;Between 15 and 64;
2015-2016;2016-05-26;39;228;Older than 64;
2015-2016;2016-05-27;115;685;Total;
2015-2016;2016-05-27;50;263;Younger than 15;
2015-2016;2016-05-27;38;210;Between 15 and 64;
2015-2016;2016-05-27;27;212;Older than 64;
2015-2016;2016-05-28;25;693;Total;
2015-2016;2016-05-28;4;261;Younger than 15;
2015-2016;2016-05-28;12;217;Between 15 and 64;
2015-2016;2016-05-28;9;215;Older than 64;
2015-2016;2016-05-29;17;685;Total;
2015-2016;2016-05-29;4;262;Younger than 15;
2015-2016;2016-05-29;8;212;Between 15 and 64;
2015-2016;2016-05-29;5;211;Older than 64;
2015-2016;2016-05-30;160;690;Total;
2015-2016;2016-05-30;57;258;Younger than 15;
2015-2016;2016-05-30;52;213;Between 15 and 64;
2015-2016;2016-05-30;51;219;Older than 64;
2015-2016;2016-05-31;124;675;Total;
2015-2016;2016-05-31;53;262;Younger than 15;
2015-2016;2016-05-31;31;200;Between 15 and 64;
2015-2016;2016-05-31;40;213;Older than 64;
2015-2016;2016-06-01;134;681;Total;
2015-2016;2016-06-01;53;263;Younger than 15;
2015-2016;2016-06-01;35;201;Between 15 and 64;
2015-2016;2016-06-01;46;217;Older than 64;
2015-2016;2016-06-02;105;680;Total;
2015-2016;2016-06-02;41;262;Younger than 15;
2015-2016;2016-06-02;30;206;Between 15 and 64;
2015-2016;2016-06-02;34;212;Older than 64;
2015-2016;2016-06-03;122;687;Total;
2015-2016;2016-06-03;49;261;Younger than 15;
2015-2016;2016-06-03;30;198;Between 15 and 64;
2015-2016;2016-06-03;43;228;Older than 64;
2015-2016;2016-06-04;15;677;Total;
2015-2016;2016-06-04;5;262;Younger than 15;
2015-2016;2016-06-04;4;190;Between 15 and 64;
2015-2016;2016-06-04;6;225;Older than 64;
2015-2016;2016-06-05;12;672;Total;
2015-2016;2016-06-05;1;259;Younger than 15;
2015-2016;2016-06-05;4;186;Between 15 and 64;
2015-2016;2016-06-05;7;227;Older than 64;
2015-2016;2016-06-06;158;670;Total;
2015-2016;2016-06-06;70;272;Younger than 15;
2015-2016;2016-06-06;48;182;Between 15 and 64;
2015-2016;2016-06-06;40;216;Older than 64;
2015-2016;2016-06-07;86;632;Total;
2015-2016;2016-06-07;44;263;Younger than 15;
2015-2016;2016-06-07;22;173;Between 15 and 64;
2015-2016;2016-06-07;20;196;Older than 64;
2015-2016;2016-06-08;116;614;Total;
2015-2016;2016-06-08;51;261;Younger than 15;
2015-2016;2016-06-08;35;173;Between 15 and 64;
2015-2016;2016-06-08;30;180;Older than 64;
2015-2016;2016-06-09;119;628;Total;
2015-2016;2016-06-09;51;271;Younger than 15;
2015-2016;2016-06-09;27;170;Between 15 and 64;
2015-2016;2016-06-09;41;187;Older than 64;
2015-2016;2016-06-10;94;600;Total;
2015-2016;2016-06-10;43;265;Younger than 15;
2015-2016;2016-06-10;21;161;Between 15 and 64;
2015-2016;2016-06-10;30;174;Older than 64;
2015-2016;2016-06-11;16;601;Total;
2015-2016;2016-06-11;5;265;Younger than 15;
2015-2016;2016-06-11;7;164;Between 15 and 64;
2015-2016;2016-06-11;4;172;Older than 64;
2015-2016;2016-06-12;14;603;Total;
2015-2016;2016-06-12;5;269;Younger than 15;
2015-2016;2016-06-12;2;162;Between 15 and 64;
2015-2016;2016-06-12;7;172;Older than 64;
2015-2016;2016-06-13;138;583;Total;
2015-2016;2016-06-13;57;256;Younger than 15;
2015-2016;2016-06-13;43;157;Between 15 and 64;
2015-2016;2016-06-13;38;170;Older than 64;
2015-2016;2016-06-14;100;597;Total;
2015-2016;2016-06-14;44;256;Younger than 15;
2015-2016;2016-06-14;25;160;Between 15 and 64;
2015-2016;2016-06-14;31;181;Older than 64;
2015-2016;2016-06-15;111;592;Total;
2015-2016;2016-06-15;52;257;Younger than 15;
2015-2016;2016-06-15;29;154;Between 15 and 64;
2015-2016;2016-06-15;30;181;Older than 64;
2015-2016;2016-06-16;86;559;Total;
2015-2016;2016-06-16;36;242;Younger than 15;
2015-2016;2016-06-16;23;150;Between 15 and 64;
2015-2016;2016-06-16;27;167;Older than 64;
2015-2016;2016-06-17;104;569;Total;
2015-2016;2016-06-17;40;239;Younger than 15;
2015-2016;2016-06-17;34;163;Between 15 and 64;
2015-2016;2016-06-17;30;167;Older than 64;
2015-2016;2016-06-18;19;572;Total;
2015-2016;2016-06-18;6;240;Younger than 15;
2015-2016;2016-06-18;7;163;Between 15 and 64;
2015-2016;2016-06-18;6;169;Older than 64;
2015-2016;2016-06-19;13;571;Total;
2015-2016;2016-06-19;1;236;Younger than 15;
2015-2016;2016-06-19;7;168;Between 15 and 64;
2015-2016;2016-06-19;5;167;Older than 64;
2015-2016;2016-06-20;114;547;Total;
2015-2016;2016-06-20;54;233;Younger than 15;
2015-2016;2016-06-20;33;158;Between 15 and 64;
2015-2016;2016-06-20;27;156;Older than 64;
2015-2016;2016-06-21;90;537;Total;
2015-2016;2016-06-21;34;223;Younger than 15;
2015-2016;2016-06-21;27;160;Between 15 and 64;
2015-2016;2016-06-21;29;154;Older than 64;
2015-2016;2016-06-22;95;521;Total;
2015-2016;2016-06-22;38;209;Younger than 15;
2015-2016;2016-06-22;23;154;Between 15 and 64;
2015-2016;2016-06-22;34;158;Older than 64;
2015-2016;2016-06-23;96;531;Total;
2015-2016;2016-06-23;36;209;Younger than 15;
2015-2016;2016-06-23;22;153;Between 15 and 64;
2015-2016;2016-06-23;38;169;Older than 64;
2015-2016;2016-06-24;12;439;Total;
2015-2016;2016-06-24;3;172;Younger than 15;
2015-2016;2016-06-24;4;123;Between 15 and 64;
2015-2016;2016-06-24;5;144;Older than 64;
2015-2016;2016-06-25;25;445;Total;
2015-2016;2016-06-25;7;173;Younger than 15;
2015-2016;2016-06-25;11;127;Between 15 and 64;
2015-2016;2016-06-25;7;145;Older than 64;
2015-2016;2016-06-26;7;439;Total;
2015-2016;2016-06-26;1;173;Younger than 15;
2015-2016;2016-06-26;3;123;Between 15 and 64;
2015-2016;2016-06-26;3;143;Older than 64;
2015-2016;2016-06-27;124;449;Total;
2015-2016;2016-06-27;47;166;Younger than 15;
2015-2016;2016-06-27;37;127;Between 15 and 64;
2015-2016;2016-06-27;40;156;Older than 64;
2015-2016;2016-06-28;106;465;Total;
2015-2016;2016-06-28;41;173;Younger than 15;
2015-2016;2016-06-28;36;136;Between 15 and 64;
2015-2016;2016-06-28;29;156;Older than 64;
2015-2016;2016-06-29;105;475;Total;
2015-2016;2016-06-29;45;180;Younger than 15;
2015-2016;2016-06-29;32;145;Between 15 and 64;
2015-2016;2016-06-29;28;150;Older than 64;
2015-2016;2016-06-30;80;459;Total;
2015-2016;2016-06-30;31;175;Younger than 15;
2015-2016;2016-06-30;25;148;Between 15 and 64;
2015-2016;2016-06-30;24;136;Older than 64;
2015-2016;2016-07-01;88;535;Total;
2015-2016;2016-07-01;26;198;Younger than 15;
2015-2016;2016-07-01;34;178;Between 15 and 64;
2015-2016;2016-07-01;28;159;Older than 64;
2015-2016;2016-07-02;15;525;Total;
2015-2016;2016-07-02;1;192;Younger than 15;
2015-2016;2016-07-02;7;174;Between 15 and 64;
2015-2016;2016-07-02;7;159;Older than 64;
2015-2016;2016-07-03;18;536;Total;
2015-2016;2016-07-03;1;192;Younger than 15;
2015-2016;2016-07-03;12;183;Between 15 and 64;
2015-2016;2016-07-03;5;161;Older than 64;
2015-2016;2016-07-04;129;541;Total;
2015-2016;2016-07-04;46;191;Younger than 15;
2015-2016;2016-07-04;45;191;Between 15 and 64;
2015-2016;2016-07-04;38;159;Older than 64;
2015-2016;2016-07-05;98;533;Total;
2015-2016;2016-07-05;32;182;Younger than 15;
2015-2016;2016-07-05;36;191;Between 15 and 64;
2015-2016;2016-07-05;30;160;Older than 64;
2015-2016;2016-07-06;76;504;Total;
2015-2016;2016-07-06;22;159;Younger than 15;
2015-2016;2016-07-06;32;191;Between 15 and 64;
2015-2016;2016-07-06;22;154;Older than 64;
2015-2016;2016-07-07;91;515;Total;
2015-2016;2016-07-07;35;163;Younger than 15;
2015-2016;2016-07-07;33;199;Between 15 and 64;
2015-2016;2016-07-07;23;153;Older than 64;
2015-2016;2016-07-08;71;498;Total;
2015-2016;2016-07-08;20;157;Younger than 15;
2015-2016;2016-07-08;30;195;Between 15 and 64;
2015-2016;2016-07-08;21;146;Older than 64;
2015-2016;2016-07-09;16;499;Total;
2015-2016;2016-07-09;3;159;Younger than 15;
2015-2016;2016-07-09;9;197;Between 15 and 64;
