date;N;N7;age
2015-04-08;143;524;Total
2015-04-09;110;555;Total
2015-04-10;67;589;Total
2015-04-11;29;583;Total
2015-04-12;17;581;Total
2015-04-13;116;660;Total
2015-04-14;80;562;Total
2015-04-15;71;490;Total
2015-04-16;51;431;Total
2015-04-17;31;395;Total
2015-04-18;13;379;Total
2015-04-19;14;376;Total
2015-04-20;64;324;Total
2015-04-21;49;293;Total
2015-04-22;46;268;Total
2015-04-23;33;250;Total
2015-04-24;19;238;Total
2015-04-25;9;234;Total
2015-04-26;14;234;Total
2015-04-27;64;234;Total
2015-04-28;52;237;Total
2015-04-29;38;229;Total
2015-04-30;32;228;Total
2015-05-01;1;210;Total
2015-05-02;19;220;Total
2015-05-03;5;211;Total
2015-05-04;50;197;Total
2015-05-05;24;169;Total
2015-05-06;20;151;Total
2015-05-07;18;137;Total
2015-05-08;13;149;Total
2015-05-09;4;134;Total
2015-05-10;6;135;Total
2015-05-11;32;117;Total
2015-05-12;17;110;Total
2015-05-13;15;105;Total
2015-05-14;17;104;Total
2015-05-15;8;99;Total
2015-05-16;10;105;Total
2015-05-17;8;107;Total
2015-05-18;31;106;Total
2015-05-19;14;103;Total
2015-05-20;19;107;Total
2015-05-21;18;108;Total
2015-05-22;11;111;Total
2015-05-23;6;107;Total
2015-05-24;3;102;Total
2015-05-25;16;87;Total
2015-05-26;17;90;Total
2015-05-27;7;78;Total
2015-05-28;12;72;Total
2015-05-29;8;69;Total
2015-05-30;4;67;Total
2015-05-31;1;65;Total
2015-06-01;7;56;Total
2015-06-02;10;49;Total
2015-06-03;19;61;Total
2015-06-04;12;61;Total
2015-06-05;11;64;Total
2015-06-06;3;63;Total
2015-06-07;8;70;Total
2015-06-08;5;68;Total
2015-06-09;14;72;Total
2015-06-10;3;56;Total
2015-06-11;10;54;Total
2015-06-12;3;46;Total
2015-06-13;3;46;Total
2015-06-14;5;43;Total
2015-06-15;18;56;Total
2015-06-16;12;54;Total
2015-06-17;8;59;Total
2015-06-18;6;55;Total
2015-06-19;8;60;Total
2015-06-20;6;63;Total
2015-06-21;1;59;Total
2015-06-22;12;53;Total
2015-06-23;5;46;Total
2015-06-24;2;40;Total
2015-06-25;11;45;Total
2015-06-26;6;43;Total
2015-06-27;4;41;Total
2015-06-28;2;42;Total
2015-06-29;7;37;Total
2015-06-30;9;41;Total
2015-07-01;7;46;Total
2015-07-02;6;41;Total
2015-07-03;4;39;Total
2015-07-04;1;36;Total
2015-07-05;2;36;Total
2015-07-06;3;32;Total
2015-07-07;8;31;Total
2015-07-08;5;29;Total
2015-07-09;3;26;Total
2015-07-10;3;25;Total
2015-07-11;0;24;Total
2015-07-12;4;26;Total
2015-07-13;0;23;Total
2015-07-14;8;23;Total
2015-07-15;6;24;Total
2015-07-16;5;26;Total
