date;N;N7;age
2020-04-15;11;49;Total
2020-04-16;10;46;Total
2020-04-17;5;46;Total
2020-04-18;4;47;Total
2020-04-19;1;44;Total
2020-04-20;1;42;Total
2020-04-21;4;36;Total
2020-04-22;8;33;Total
2020-04-23;7;30;Total
2020-04-24;4;29;Total
2020-04-25;4;29;Total
2020-04-26;2;30;Total
2020-04-27;4;33;Total
2020-04-28;5;34;Total
2020-04-29;1;27;Total
2020-04-30;8;28;Total
2020-05-01;0;24;Total
2020-05-02;0;20;Total
2020-05-03;1;19;Total
2020-05-04;8;23;Total
2020-05-05;7;25;Total
2020-05-06;2;26;Total
2020-05-07;1;19;Total
2020-05-08;2;21;Total
2020-05-09;0;21;Total
2020-05-10;1;21;Total
2020-05-11;5;18;Total
2020-05-12;1;12;Total
2020-05-13;3;13;Total
2020-05-14;1;13;Total
2020-05-15;1;12;Total
2020-05-16;1;13;Total
2020-05-17;0;12;Total
2020-05-18;0;7;Total
2020-05-19;4;10;Total
2020-05-20;3;10;Total
2020-05-21;1;10;Total
2020-05-22;0;9;Total
2020-05-23;1;9;Total
2020-05-24;0;9;Total
2020-05-25;1;10;Total
2020-05-26;1;7;Total
2020-05-27;1;5;Total
2020-05-28;3;7;Total
2020-05-29;0;7;Total
2020-05-30;0;6;Total
2020-05-31;0;6;Total
2020-06-01;3;8;Total
2020-06-02;1;8;Total
2020-06-03;2;9;Total
2020-06-04;2;8;Total
2020-06-05;3;11;Total
2020-06-06;0;11;Total
2020-06-07;1;12;Total
2020-06-08;4;13;Total
2020-06-09;2;14;Total
2020-06-10;1;13;Total
2020-06-11;3;14;Total
2020-06-12;3;14;Total
2020-06-13;1;15;Total
2020-06-14;0;14;Total
2020-06-15;0;10;Total
2020-06-16;1;9;Total
2020-06-17;3;11;Total
2020-06-18;2;10;Total
2020-06-19;0;7;Total
2020-06-20;1;7;Total
2020-06-21;0;7;Total
2020-06-22;1;8;Total
2020-06-23;1;8;Total
2020-06-24;0;5;Total
2020-06-25;4;7;Total
2020-06-26;0;7;Total
2020-06-27;1;7;Total
2020-06-28;1;8;Total
2020-06-29;2;9;Total
2020-06-30;1;9;Total
2020-07-01;1;10;Total
2020-07-02;1;7;Total
2020-07-03;0;7;Total
2020-07-04;0;6;Total
2020-07-05;0;5;Total
2020-07-06;2;5;Total
2020-07-07;2;6;Total
2020-07-08;1;6;Total
2020-07-09;0;5;Total
2020-07-10;2;7;Total
2020-07-11;0;7;Total
2020-07-12;1;8;Total
2020-07-13;0;6;Total
2020-07-14;1;5;Total
2020-07-15;2;6;Total
2020-07-16;2;8;Total
2020-07-17;3;9;Total
2020-07-18;0;9;Total
2020-07-19;0;8;Total
2020-07-20;1;9;Total
2020-07-21;3;11;Total
2020-07-22;2;11;Total
2020-07-23;1;10;Total
2020-07-24;0;7;Total
2020-07-25;0;7;Total
2020-07-26;0;7;Total
2020-07-27;4;10;Total
2020-07-28;6;13;Total
2020-07-29;5;16;Total
2020-07-30;3;18;Total
2020-07-31;2;20;Total
2020-08-01;0;20;Total
2020-08-02;0;20;Total
2020-08-03;4;20;Total
2020-08-04;3;17;Total
2020-08-05;0;12;Total
2020-08-06;1;10;Total
2020-08-07;1;9;Total
2020-08-08;0;9;Total
2020-08-09;3;12;Total
2020-08-10;2;10;Total
2020-08-11;1;8;Total
2020-08-12;5;13;Total
2020-08-13;3;15;Total
2020-08-14;2;16;Total
2020-08-15;3;19;Total
2020-08-16;1;17;Total
2020-08-17;1;16;Total
2020-08-18;4;19;Total
2020-08-19;1;15;Total
2020-08-20;1;13;Total
2020-08-21;4;15;Total
2020-08-22;6;18;Total
2020-08-23;1;18;Total
2020-08-24;5;22;Total
2020-08-25;3;21;Total
2020-08-26;2;22;Total
2020-08-27;2;23;Total
2020-08-28;1;20;Total
2020-08-29;2;16;Total
2020-08-30;0;15;Total
2020-08-31;5;15;Total
2020-09-01;6;18;Total
2020-09-02;2;18;Total
2020-09-03;4;20;Total
2020-09-04;4;23;Total
2020-09-05;2;23;Total
2020-09-06;1;24;Total
2020-09-07;4;23;Total
2020-09-08;5;22;Total
2020-09-09;0;20;Total
2020-09-10;5;21;Total
2020-09-11;3;20;Total
2020-09-12;1;19;Total
2020-09-13;3;21;Total
2020-09-14;8;25;Total
2020-09-15;2;22;Total
2020-09-16;2;24;Total
2020-09-17;4;23;Total
2020-09-18;5;25;Total
2020-09-19;2;26;Total
2020-09-20;3;26;Total
2020-09-21;8;26;Total
2020-09-22;3;27;Total
2020-09-23;6;31;Total
2020-09-24;4;31;Total
2020-09-25;11;37;Total
2020-09-26;2;37;Total
2020-09-27;6;40;Total
2020-09-28;18;50;Total
2020-09-29;8;55;Total
2020-09-30;9;58;Total
2020-10-01;10;64;Total
2020-10-02;11;64;Total
2020-10-03;2;64;Total
2020-10-04;6;64;Total
2020-10-05;15;61;Total
2020-10-06;16;69;Total
2020-10-07;9;69;Total
2020-10-08;8;67;Total
2020-10-09;5;61;Total
2020-10-10;10;69;Total
2020-10-11;8;71;Total
2020-10-12;9;65;Total
2020-10-13;15;64;Total
2020-10-14;14;69;Total
2020-10-15;10;71;Total
2020-10-16;16;82;Total
2020-10-17;3;75;Total
2020-10-18;4;71;Total
2020-10-19;20;82;Total
2020-10-20;15;82;Total
2020-10-21;20;88;Total
2020-10-22;22;100;Total
2020-10-23;21;105;Total
2020-10-24;10;112;Total
2020-10-25;26;134;Total
2020-10-26;21;135;Total
2020-10-27;12;132;Total
2020-10-28;20;132;Total
2020-10-29;9;119;Total
2020-10-30;14;112;Total
2020-10-31;9;111;Total
2020-11-01;6;91;Total
2020-11-02;24;94;Total
2020-11-03;12;94;Total
2020-11-04;14;88;Total
2020-11-05;16;95;Total
2020-11-06;7;88;Total
2020-11-07;0;79;Total
2020-11-08;3;76;Total
2020-11-09;17;69;Total
2020-11-10;16;73;Total
2020-11-11;15;74;Total
2020-11-12;20;78;Total
2020-11-13;15;86;Total
2020-11-14;5;91;Total
2020-11-15;4;92;Total
2020-11-16;22;97;Total
2020-11-17;14;95;Total
2020-11-18;11;91;Total
2020-11-19;18;89;Total
2020-11-20;7;81;Total
2020-11-21;2;78;Total
2020-11-22;5;79;Total
2020-11-23;21;78;Total
2020-11-24;12;76;Total
2020-11-25;11;76;Total
2020-11-26;14;72;Total
2020-11-27;6;71;Total
2020-11-28;6;75;Total
2020-11-29;4;74;Total
2020-11-30;25;78;Total
2020-12-01;12;78;Total
2020-12-02;7;74;Total
2020-12-03;21;81;Total
2020-12-04;9;84;Total
2014-09-01;0;0;
2014-09-01;1;2;Younger than 15
2014-09-01;7;34;Between 15 and 64
2014-09-01;1;2;Older than 64
2014-09-02;0;0;
2014-09-02;0;2;Younger than 15
2014-09-02;6;33;Between 15 and 64
2014-09-02;1;3;Older than 64
2014-09-03;0;0;
2014-09-03;0;2;Younger than 15
2014-09-03;11;39;Between 15 and 64
2014-09-03;2;5;Older than 64
2014-09-04;0;0;
2014-09-04;0;1;Younger than 15
2014-09-04;7;43;Between 15 and 64
2014-09-04;0;4;Older than 64
2014-09-05;0;0;
2014-09-05;2;3;Younger than 15
2014-09-05;7;45;Between 15 and 64
2014-09-05;1;5;Older than 64
2014-09-06;0;0;
2014-09-06;1;4;Younger than 15
2014-09-06;3;43;Between 15 and 64
2014-09-06;0;5;Older than 64
2014-09-07;0;0;
2014-09-07;0;4;Younger than 15
2014-09-07;2;43;Between 15 and 64
2014-09-07;0;5;Older than 64
2014-09-08;0;0;
2014-09-08;1;4;Younger than 15
2014-09-08;8;44;Between 15 and 64
2014-09-08;0;4;Older than 64
2014-09-09;0;0;
2014-09-09;0;4;Younger than 15
2014-09-09;11;49;Between 15 and 64
2014-09-09;1;4;Older than 64
2014-09-10;0;0;
2014-09-10;1;5;Younger than 15
2014-09-10;6;44;Between 15 and 64
2014-09-10;1;3;Older than 64
2014-09-11;0;0;
2014-09-11;0;5;Younger than 15
2014-09-11;1;38;Between 15 and 64
2014-09-11;0;3;Older than 64
2014-09-12;0;0;
2014-09-12;1;4;Younger than 15
2014-09-12;10;41;Between 15 and 64
2014-09-12;1;3;Older than 64
2014-09-13;0;0;
2014-09-13;1;4;Younger than 15
2014-09-13;4;42;Between 15 and 64
2014-09-13;0;3;Older than 64
2014-09-14;0;0;
2014-09-14;0;4;Younger than 15
2014-09-14;2;42;Between 15 and 64
2014-09-14;0;3;Older than 64
2014-09-15;0;0;
2014-09-15;0;3;Younger than 15
2014-09-15;11;45;Between 15 and 64
2014-09-15;0;3;Older than 64
2014-09-16;0;0;
2014-09-16;2;5;Younger than 15
2014-09-16;12;46;Between 15 and 64
2014-09-16;0;2;Older than 64
2014-09-17;0;0;
2014-09-17;2;6;Younger than 15
2014-09-17;9;49;Between 15 and 64
2014-09-17;1;2;Older than 64
2014-09-18;0;0;
2014-09-18;1;7;Younger than 15
2014-09-18;6;54;Between 15 and 64
2014-09-18;1;3;Older than 64
2014-09-19;0;0;
2014-09-19;1;7;Younger than 15
2014-09-19;8;52;Between 15 and 64
2014-09-19;2;4;Older than 64
2014-09-20;0;0;
2014-09-20;0;6;Younger than 15
2014-09-20;4;52;Between 15 and 64
2014-09-20;1;5;Older than 64
2014-09-21;0;0;
2014-09-21;3;9;Younger than 15
2014-09-21;4;54;Between 15 and 64
2014-09-21;1;6;Older than 64
2014-09-22;0;0;
2014-09-22;1;10;Younger than 15
2014-09-22;15;58;Between 15 and 64
2014-09-22;3;9;Older than 64
2014-09-23;0;0;
2014-09-23;3;11;Younger than 15
2014-09-23;9;55;Between 15 and 64
2014-09-23;0;9;Older than 64
2014-09-24;0;0;
2014-09-24;0;9;Younger than 15
2014-09-24;17;63;Between 15 and 64
2014-09-24;0;8;Older than 64
2014-09-25;0;0;
2014-09-25;1;9;Younger than 15
2014-09-25;19;76;Between 15 and 64
2014-09-25;0;7;Older than 64
2014-09-26;0;0;
2014-09-26;3;11;Younger than 15
2014-09-26;15;83;Between 15 and 64
2014-09-26;2;7;Older than 64
2014-09-27;0;0;
2014-09-27;4;15;Younger than 15
2014-09-27;9;88;Between 15 and 64
2014-09-27;2;8;Older than 64
2014-09-28;0;0;
2014-09-28;0;12;Younger than 15
2014-09-28;5;89;Between 15 and 64
2014-09-28;0;7;Older than 64
2014-09-29;0;0;
2014-09-29;4;15;Younger than 15
2014-09-29;31;105;Between 15 and 64
2014-09-29;1;5;Older than 64
2014-09-30;0;0;
2014-09-30;2;14;Younger than 15
2014-09-30;36;132;Between 15 and 64
2014-09-30;2;7;Older than 64
2014-10-01;0;0;
2014-10-01;5;19;Younger than 15
2014-10-01;29;144;Between 15 and 64
2014-10-01;1;8;Older than 64
2014-10-02;0;0;
2014-10-02;1;19;Younger than 15
2014-10-02;22;147;Between 15 and 64
2014-10-02;0;8;Older than 64
2014-10-03;0;0;
2014-10-03;7;23;Younger than 15
2014-10-03;18;150;Between 15 and 64
2014-10-03;4;10;Older than 64
2014-10-04;0;0;
2014-10-04;4;23;Younger than 15
2014-10-04;10;151;Between 15 and 64
2014-10-04;0;8;Older than 64
2014-10-05;0;0;
2014-10-05;0;23;Younger than 15
2014-10-05;5;151;Between 15 and 64
2014-10-05;0;8;Older than 64
2014-10-06;0;0;
2014-10-06;4;23;Younger than 15
2014-10-06;39;159;Between 15 and 64
2014-10-06;2;9;Older than 64
2014-10-07;0;0;
2014-10-07;6;27;Younger than 15
2014-10-07;25;148;Between 15 and 64
2014-10-07;2;9;Older than 64
2014-10-08;0;0;
2014-10-08;7;29;Younger than 15
2014-10-08;36;155;Between 15 and 64
2014-10-08;3;11;Older than 64
2014-10-09;0;0;
2014-10-09;1;29;Younger than 15
2014-10-09;29;162;Between 15 and 64
2014-10-09;3;14;Older than 64
2014-10-10;0;0;
2014-10-10;2;24;Younger than 15
2014-10-10;33;177;Between 15 and 64
2014-10-10;1;11;Older than 64
2014-10-11;0;0;
2014-10-11;1;21;Younger than 15
2014-10-11;15;182;Between 15 and 64
2014-10-11;0;11;Older than 64
2014-10-12;0;0;
2014-10-12;1;22;Younger than 15
2014-10-12;6;183;Between 15 and 64
2014-10-12;2;13;Older than 64
2014-10-13;0;0;
2014-10-13;3;21;Younger than 15
2014-10-13;43;187;Between 15 and 64
2014-10-13;5;16;Older than 64
2014-10-14;0;0;
2014-10-14;4;19;Younger than 15
2014-10-14;57;219;Between 15 and 64
2014-10-14;15;29;Older than 64
2014-10-15;0;0;
2014-10-15;2;14;Younger than 15
2014-10-15;54;237;Between 15 and 64
2014-10-15;5;31;Older than 64
2014-10-16;0;0;
2014-10-16;1;14;Younger than 15
2014-10-16;40;248;Between 15 and 64
2014-10-16;2;30;Older than 64
2014-10-17;0;0;
2014-10-17;3;15;Younger than 15
2014-10-17;24;239;Between 15 and 64
2014-10-17;6;35;Older than 64
2014-10-18;0;0;
2014-10-18;2;16;Younger than 15
2014-10-18;13;237;Between 15 and 64
2014-10-18;1;36;Older than 64
2014-10-19;0;0;
2014-10-19;1;16;Younger than 15
2014-10-19;7;238;Between 15 and 64
2014-10-19;0;34;Older than 64
2014-10-20;0;0;
2014-10-20;9;22;Younger than 15
2014-10-20;47;242;Between 15 and 64
2014-10-20;5;34;Older than 64
2014-10-21;0;0;
2014-10-21;1;19;Younger than 15
2014-10-21;41;226;Between 15 and 64
2014-10-21;1;20;Older than 64
2014-10-22;0;0;
2014-10-22;7;24;Younger than 15
2014-10-22;51;223;Between 15 and 64
2014-10-22;4;19;Older than 64
2014-10-23;0;0;
2014-10-23;2;25;Younger than 15
2014-10-23;42;225;Between 15 and 64
2014-10-23;3;20;Older than 64
2014-10-24;0;0;
2014-10-24;1;23;Younger than 15
2014-10-24;27;228;Between 15 and 64
2014-10-24;3;17;Older than 64
2014-10-25;0;0;
2014-10-25;0;21;Younger than 15
2014-10-25;12;227;Between 15 and 64
2014-10-25;0;16;Older than 64
2014-10-26;0;0;
2014-10-26;0;20;Younger than 15
2014-10-26;13;233;Between 15 and 64
2014-10-26;0;16;Older than 64
2014-10-27;0;0;
2014-10-27;8;19;Younger than 15
2014-10-27;38;224;Between 15 and 64
2014-10-27;5;16;Older than 64
2014-10-28;0;0;
2014-10-28;6;24;Younger than 15
2014-10-28;42;225;Between 15 and 64
2014-10-28;7;22;Older than 64
2014-10-29;0;0;
2014-10-29;5;22;Younger than 15
2014-10-29;31;205;Between 15 and 64
2014-10-29;7;25;Older than 64
2014-10-30;0;0;
2014-10-30;0;20;Younger than 15
2014-10-30;36;199;Between 15 and 64
2014-10-30;4;26;Older than 64
2014-10-31;0;0;
2014-10-31;7;26;Younger than 15
2014-10-31;34;206;Between 15 and 64
2014-10-31;6;29;Older than 64
2014-11-01;0;0;
2014-11-01;0;26;Younger than 15
2014-11-01;6;200;Between 15 and 64
2014-11-01;1;30;Older than 64
2014-11-02;0;0;
2014-11-02;1;27;Younger than 15
2014-11-02;7;194;Between 15 and 64
2014-11-02;4;34;Older than 64
2014-11-03;0;0;
2014-11-03;7;26;Younger than 15
2014-11-03;61;217;Between 15 and 64
2014-11-03;9;38;Older than 64
2014-11-04;0;0;
2014-11-04;5;25;Younger than 15
2014-11-04;46;221;Between 15 and 64
2014-11-04;4;35;Older than 64
2014-11-05;0;0;
2014-11-05;5;25;Younger than 15
2014-11-05;41;231;Between 15 and 64
2014-11-05;8;36;Older than 64
2014-11-06;0;0;
2014-11-06;10;35;Younger than 15
2014-11-06;41;236;Between 15 and 64
2014-11-06;8;40;Older than 64
2014-11-07;0;0;
2014-11-07;7;35;Younger than 15
2014-11-07;41;243;Between 15 and 64
2014-11-07;6;40;Older than 64
2014-11-08;0;0;
2014-11-08;0;35;Younger than 15
2014-11-08;14;251;Between 15 and 64
2014-11-08;2;41;Older than 64
2014-11-09;0;0;
2014-11-09;0;34;Younger than 15
2014-11-09;11;255;Between 15 and 64
2014-11-09;2;39;Older than 64
2014-11-10;0;0;
2014-11-10;9;36;Younger than 15
2014-11-10;95;289;Between 15 and 64
2014-11-10;5;35;Older than 64
2014-11-11;0;0;
2014-11-11;9;40;Younger than 15
2014-11-11;55;298;Between 15 and 64
2014-11-11;9;40;Older than 64
2014-11-12;0;0;
2014-11-12;8;43;Younger than 15
2014-11-12;60;317;Between 15 and 64
2014-11-12;8;40;Older than 64
2014-11-13;0;0;
2014-11-13;15;48;Younger than 15
2014-11-13;61;337;Between 15 and 64
2014-11-13;5;37;Older than 64
2014-11-14;0;0;
2014-11-14;6;47;Younger than 15
2014-11-14;68;364;Between 15 and 64
2014-11-14;3;34;Older than 64
2014-11-15;0;0;
2014-11-15;2;49;Younger than 15
2014-11-15;14;364;Between 15 and 64
2014-11-15;2;34;Older than 64
2014-11-16;0;0;
2014-11-16;2;51;Younger than 15
2014-11-16;11;364;Between 15 and 64
2014-11-16;1;33;Older than 64
2014-11-17;0;0;
2014-11-17;22;64;Younger than 15
2014-11-17;92;361;Between 15 and 64
2014-11-17;8;36;Older than 64
2014-11-18;0;0;
2014-11-18;12;67;Younger than 15
2014-11-18;79;385;Between 15 and 64
2014-11-18;4;31;Older than 64
2014-11-19;0;0;
2014-11-19;16;75;Younger than 15
2014-11-19;67;392;Between 15 and 64
2014-11-19;3;26;Older than 64
2014-11-20;0;0;
2014-11-20;16;76;Younger than 15
2014-11-20;52;383;Between 15 and 64
2014-11-20;3;24;Older than 64
2014-11-21;0;0;
2014-11-21;12;82;Younger than 15
2014-11-21;51;366;Between 15 and 64
2014-11-21;6;27;Older than 64
2014-11-22;0;0;
2014-11-22;2;82;Younger than 15
2014-11-22;10;362;Between 15 and 64
2014-11-22;1;26;Older than 64
2014-11-23;0;0;
2014-11-23;4;84;Younger than 15
2014-11-23;20;371;Between 15 and 64
2014-11-23;0;25;Older than 64
2014-11-24;0;0;
2014-11-24;21;83;Younger than 15
2014-11-24;83;362;Between 15 and 64
2014-11-24;10;27;Older than 64
2014-11-25;0;0;
2014-11-25;9;80;Younger than 15
2014-11-25;70;353;Between 15 and 64
2014-11-25;9;32;Older than 64
2014-11-26;0;0;
2014-11-26;11;75;Younger than 15
2014-11-26;53;339;Between 15 and 64
2014-11-26;5;34;Older than 64
2014-11-27;0;0;
2014-11-27;17;76;Younger than 15
2014-11-27;59;346;Between 15 and 64
2014-11-27;4;35;Older than 64
2014-11-28;0;0;
2014-11-28;3;67;Younger than 15
2014-11-28;56;351;Between 15 and 64
2014-11-28;2;31;Older than 64
2014-11-29;0;0;
2014-11-29;3;68;Younger than 15
2014-11-29;19;360;Between 15 and 64
2014-11-29;1;31;Older than 64
2014-11-30;0;0;
2014-11-30;0;64;Younger than 15
2014-11-30;8;348;Between 15 and 64
2014-11-30;0;31;Older than 64
2014-12-01;0;0;
2014-12-01;14;57;Younger than 15
2014-12-01;77;342;Between 15 and 64
2014-12-01;8;29;Older than 64
2014-12-02;0;0;
2014-12-02;19;67;Younger than 15
2014-12-02;72;344;Between 15 and 64
2014-12-02;7;27;Older than 64
2014-12-03;0;0;
2014-12-03;18;74;Younger than 15
2014-12-03;79;370;Between 15 and 64
2014-12-03;5;27;Older than 64
2014-12-04;0;0;
2014-12-04;23;80;Younger than 15
2014-12-04;70;381;Between 15 and 64
2014-12-04;9;32;Older than 64
2014-12-05;0;0;
2014-12-05;16;93;Younger than 15
2014-12-05;37;362;Between 15 and 64
2014-12-05;4;34;Older than 64
2014-12-06;0;0;
2014-12-06;1;91;Younger than 15
2014-12-06;19;362;Between 15 and 64
2014-12-06;3;36;Older than 64
2014-12-07;0;0;
2014-12-07;4;95;Younger than 15
2014-12-07;14;368;Between 15 and 64
2014-12-07;0;36;Older than 64
2014-12-08;0;0;
2014-12-08;0;81;Younger than 15
2014-12-08;23;314;Between 15 and 64
2014-12-08;0;28;Older than 64
2014-12-09;0;0;
2014-12-09;30;92;Younger than 15
2014-12-09;134;376;Between 15 and 64
2014-12-09;13;34;Older than 64
2014-12-10;0;0;
2014-12-10;18;92;Younger than 15
2014-12-10;114;411;Between 15 and 64
2014-12-10;4;33;Older than 64
2014-12-11;0;0;
2014-12-11;32;101;Younger than 15
2014-12-11;111;452;Between 15 and 64
2014-12-11;3;27;Older than 64
2014-12-12;0;0;
2014-12-12;24;109;Younger than 15
2014-12-12;84;499;Between 15 and 64
2014-12-12;3;26;Older than 64
2014-12-13;0;0;
2014-12-13;0;108;Younger than 15
2014-12-13;30;510;Between 15 and 64
2014-12-13;4;27;Older than 64
2014-12-14;0;0;
2014-12-14;3;107;Younger than 15
2014-12-14;17;513;Between 15 and 64
2014-12-14;1;28;Older than 64
2014-12-15;0;0;
2014-12-15;36;143;Younger than 15
2014-12-15;159;649;Between 15 and 64
2014-12-15;9;37;Older than 64
2014-12-16;0;0;
2014-12-16;30;143;Younger than 15
2014-12-16;110;625;Between 15 and 64
2014-12-16;16;40;Older than 64
2014-12-17;0;0;
2014-12-17;38;163;Younger than 15
2014-12-17;111;622;Between 15 and 64
2014-12-17;7;43;Older than 64
2014-12-18;0;0;
2014-12-18;28;159;Younger than 15
2014-12-18;97;608;Between 15 and 64
2014-12-18;12;52;Older than 64
2014-12-19;0;0;
2014-12-19;24;159;Younger than 15
2014-12-19;70;594;Between 15 and 64
2014-12-19;10;59;Older than 64
2014-12-20;0;0;
2014-12-20;2;161;Younger than 15
2014-12-20;37;601;Between 15 and 64
2014-12-20;7;62;Older than 64
2014-12-21;0;0;
2014-12-21;3;161;Younger than 15
2014-12-21;20;604;Between 15 and 64
2014-12-21;9;70;Older than 64
2014-12-22;0;0;
2014-12-22;42;167;Younger than 15
2014-12-22;108;553;Between 15 and 64
2014-12-22;16;77;Older than 64
2014-12-23;0;0;
2014-12-23;22;159;Younger than 15
2014-12-23;90;533;Between 15 and 64
2014-12-23;9;70;Older than 64
2014-12-24;0;0;
2014-12-24;32;153;Younger than 15
2014-12-24;70;492;Between 15 and 64
2014-12-24;8;71;Older than 64
2014-12-25;0;0;
2014-12-25;7;132;Younger than 15
2014-12-25;13;408;Between 15 and 64
2014-12-25;4;63;Older than 64
2014-12-26;0;0;
2014-12-26;10;118;Younger than 15
2014-12-26;34;372;Between 15 and 64
2014-12-26;4;57;Older than 64
2014-12-27;0;0;
2014-12-27;9;125;Younger than 15
2014-12-27;69;404;Between 15 and 64
2014-12-27;6;56;Older than 64
2014-12-28;0;0;
2014-12-28;9;131;Younger than 15
2014-12-28;48;432;Between 15 and 64
2014-12-28;7;54;Older than 64
2014-12-29;0;0;
2014-12-29;59;148;Younger than 15
2014-12-29;234;558;Between 15 and 64
2014-12-29;23;61;Older than 64
2014-12-30;0;0;
2014-12-30;35;161;Younger than 15
2014-12-30;155;623;Between 15 and 64
2014-12-30;26;78;Older than 64
2014-12-31;0;0;
2014-12-31;28;157;Younger than 15
2014-12-31;106;659;Between 15 and 64
2014-12-31;21;91;Older than 64
2015-01-01;0;0;
2015-01-01;11;161;Younger than 15
2015-01-01;42;688;Between 15 and 64
2015-01-01;4;91;Older than 64
2015-01-02;0;0;
2015-01-02;31;182;Younger than 15
2015-01-02;198;852;Between 15 and 64
2015-01-02;31;118;Older than 64
2015-01-03;0;0;
2015-01-03;9;182;Younger than 15
2015-01-03;77;860;Between 15 and 64
2015-01-03;15;127;Older than 64
2015-01-04;0;0;
2015-01-04;6;179;Younger than 15
2015-01-04;91;903;Between 15 and 64
2015-01-04;16;136;Older than 64
2015-01-05;0;0;
2015-01-05;41;161;Younger than 15
2015-01-05;282;951;Between 15 and 64
2015-01-05;31;144;Older than 64
2015-01-06;0;0;
2015-01-06;2;128;Younger than 15
2015-01-06;70;866;Between 15 and 64
2015-01-06;5;123;Older than 64
2015-01-07;0;0;
2015-01-07;51;151;Younger than 15
2015-01-07;406;1166;Between 15 and 64
2015-01-07;29;131;Older than 64
2015-01-08;0;0;
2015-01-08;52;192;Younger than 15
2015-01-08;369;1493;Between 15 and 64
2015-01-08;31;158;Older than 64
2015-01-09;0;0;
2015-01-09;75;236;Younger than 15
2015-01-09;284;1579;Between 15 and 64
2015-01-09;40;167;Older than 64
2015-01-10;0;0;
2015-01-10;18;245;Younger than 15
2015-01-10;114;1616;Between 15 and 64
2015-01-10;11;163;Older than 64
2015-01-11;0;0;
2015-01-11;5;244;Younger than 15
2015-01-11;94;1619;Between 15 and 64
2015-01-11;9;156;Older than 64
2015-01-12;0;0;
2015-01-12;142;345;Younger than 15
2015-01-12;520;1857;Between 15 and 64
2015-01-12;51;176;Older than 64
2015-01-13;0;0;
2015-01-13;99;442;Younger than 15
2015-01-13;378;2165;Between 15 and 64
2015-01-13;29;200;Older than 64
2015-01-14;0;0;
2015-01-14;125;516;Younger than 15
2015-01-14;380;2139;Between 15 and 64
2015-01-14;34;205;Older than 64
2015-01-15;0;0;
2015-01-15;131;595;Younger than 15
2015-01-15;327;2097;Between 15 and 64
2015-01-15;36;210;Older than 64
2015-01-16;0;0;
2015-01-16;150;670;Younger than 15
2015-01-16;312;2125;Between 15 and 64
2015-01-16;28;198;Older than 64
2015-01-17;0;0;
2015-01-17;35;687;Younger than 15
2015-01-17;94;2105;Between 15 and 64
2015-01-17;10;197;Older than 64
2015-01-18;0;0;
2015-01-18;17;699;Younger than 15
2015-01-18;99;2110;Between 15 and 64
2015-01-18;6;194;Older than 64
2015-01-19;0;0;
2015-01-19;330;887;Younger than 15
2015-01-19;678;2268;Between 15 and 64
2015-01-19;47;190;Older than 64
2015-01-20;0;0;
2015-01-20;299;1087;Younger than 15
2015-01-20;512;2402;Between 15 and 64
2015-01-20;36;197;Older than 64
2015-01-21;0;0;
2015-01-21;333;1295;Younger than 15
2015-01-21;565;2587;Between 15 and 64
2015-01-21;50;213;Older than 64
2015-01-22;0;0;
2015-01-22;338;1502;Younger than 15
2015-01-22;525;2785;Between 15 and 64
2015-01-22;51;228;Older than 64
2015-01-23;0;0;
2015-01-23;461;1813;Younger than 15
2015-01-23;561;3034;Between 15 and 64
2015-01-23;65;265;Older than 64
2015-01-24;0;0;
2015-01-24;54;1832;Younger than 15
2015-01-24;201;3141;Between 15 and 64
2015-01-24;25;280;Older than 64
2015-01-25;0;0;
2015-01-25;63;1878;Younger than 15
2015-01-25;163;3205;Between 15 and 64
2015-01-25;16;290;Older than 64
2015-01-26;0;0;
2015-01-26;898;2446;Younger than 15
2015-01-26;1283;3810;Between 15 and 64
2015-01-26;102;345;Older than 64
2015-01-27;0;0;
2015-01-27;741;2888;Younger than 15
2015-01-27;1086;4384;Between 15 and 64
2015-01-27;80;389;Older than 64
2015-01-28;0;0;
2015-01-28;695;3250;Younger than 15
2015-01-28;1078;4897;Between 15 and 64
2015-01-28;74;413;Older than 64
2015-01-29;0;0;
2015-01-29;735;3647;Younger than 15
2015-01-29;934;5306;Between 15 and 64
2015-01-29;90;452;Older than 64
2015-01-30;0;0;
2015-01-30;772;3958;Younger than 15
2015-01-30;918;5663;Between 15 and 64
2015-01-30;114;501;Older than 64
2015-01-31;0;0;
2015-01-31;153;4057;Younger than 15
2015-01-31;327;5789;Between 15 and 64
2015-01-31;39;515;Older than 64
2015-02-01;0;0;
2015-02-01;101;4095;Younger than 15
2015-02-01;231;5857;Between 15 and 64
2015-02-01;19;518;Older than 64
2015-02-02;0;0;
2015-02-02;1497;4694;Younger than 15
2015-02-02;1942;6516;Between 15 and 64
2015-02-02;161;577;Older than 64
2015-02-03;0;0;
2015-02-03;1065;5018;Younger than 15
2015-02-03;1512;6942;Between 15 and 64
2015-02-03;125;622;Older than 64
2015-02-04;0;0;
2015-02-04;744;5067;Younger than 15
2015-02-04;1295;7159;Between 15 and 64
2015-02-04;108;656;Older than 64
2015-02-05;0;0;
2015-02-05;885;5217;Younger than 15
2015-02-05;1327;7552;Between 15 and 64
2015-02-05;117;683;Older than 64
2015-02-06;0;0;
2015-02-06;901;5346;Younger than 15
2015-02-06;1111;7745;Between 15 and 64
2015-02-06;119;688;Older than 64
